ID,Primary,Question,A,B,C,D,Answer,Category,Difficulty
1,P1,9 ones is the same as ____.,7,3,9,5,C,Numbers,-3.0
2,P1,5 ones is the same as ____.,5,6,7,4,A,Numbers,-3.0
3,P1,8 is the same as ____ ones.,5,8,7,6,B,Numbers,-3.0
4,P1,4 is the same as ____ ones,3,2,4,5,C,Numbers,-3.0
5,P1,____ tens is the same as 30.,1,2,3,4,C,Numbers,-3.0
6,P1,____ tens is the same as 70.,4,5,6,7,D,Numbers,-3.0
7,P1,20 is the same as ____ tens.,1,2,3,4,B,Numbers,-3.0
8,P1,60 is the same as ____ tens.,4,5,6,7,C,Numbers,-3.0
9,P1,Thirty in numeral.,20,30,40,50,B,Numbers,-3.0
10,P1,Twenty-five in numeral.,5,15,25,35,C,Numbers,-3.0
11,P1,Eighty-nine in numeral.,68,79,89,98,C,Numbers,-3.0
12,P1,Twelve in numeral.,10,14,17,12,D,Numbers,-3.0
13,P1,Select the largest number.,17,16,13,19,D,Numbers,-3.0
14,P1,Select the largest number.,38,32,34,35,A,Numbers,-3.0
15,P1,Select the largest number.,23,58,13,49,B,Numbers,-3.0
16,P1,Select the largest number.,5,8,3,7,B,Numbers,-3.0
17,P1,Select the smallest number.,48,40,45,43,B,Numbers,-3.0
18,P1,Select the smallest number.,63,78,90,83,A,Numbers,-3.0
19,P1,Select the smallest number.,45,28,93,12,D,Numbers,-3.0
20,P1,Select the smallest number.,11,8,9,2,D,Numbers,-3.0
21,P1,16 comes before ____.,16,15,13,17,D,Numbers,-2.3333333333333335
22,P1,34 comes before ____.,24,35,30,33,B,Numbers,-2.3333333333333335
23,P1,____ comes after 89.,87,88,89,90,D,Numbers,-2.3333333333333335
24,P1,____ comes after 13.,14,12,11,10,A,Numbers,-2.3333333333333335
25,P1,____ comes between 77 and 79.,73,71,78,80,C,Numbers,-2.3333333333333335
26,P1,____ comes between 9 and 11.,8,12,10,13,C,Numbers,-2.3333333333333335
27,P1,56 is between 55 and ____.,54,57,58,56,B,Numbers,-2.3333333333333335
28,P1,31 is between 30 and ____.,29,32,38,34,B,Numbers,-2.3333333333333335
29,P1,98 is between ____ and 99.,95,98,96,97,D,Numbers,-2.3333333333333335
30,P1,6 is between ____ and 7.,8,2,5,4,C,Numbers,-2.3333333333333335
31,P1,5 more than 11 is ____.,15,16,6,7,B,Numbers,-2.3333333333333335
32,P1,20 more than 10 is ____.,10,20,30,40,C,Numbers,-2.3333333333333335
33,P1,8 less than 40 is ____.,48,49,32,33,C,Numbers,-2.3333333333333335
34,P1,3 less than 90 is ____.,93,99,87,88,C,Numbers,-2.3333333333333335
35,P1,____ more than 67 is 75.,5,8,7,4,B,Numbers,-2.3333333333333335
36,P1,____ more than 11 is 17.,8,7,6,5,C,Numbers,-2.3333333333333335
37,P1,____ less than 8 is 5.,8,4,3,6,C,Numbers,-2.3333333333333335
38,P1,____ less than 100 is 80.,30,40,20,90,C,Numbers,-2.3333333333333335
39,P1,25 is ____ more than 21.,2,3,4,5,C,Numbers,-2.3333333333333335
40,P1,71 is ____ less than 80.,6,7,8,9,D,Numbers,-2.3333333333333335
